QTY,Name,Type,URL
1,Tinkaton ex,Pokémon,https://images.pokemontcg.io/sv2/262_hires.png
3,Liepard,Pokémon,https://images.pokemontcg.io/swsh9/91_hires.png
4,Purrloin,Pokémon,https://images.pokemontcg.io/swsh12pt5/77_hires.png
3,Abra,Pokémon,https://images.pokemontcg.io/sv6/80_hires.png
2,Kadabra,Pokémon,https://images.pokemontcg.io/sv6/81_hires.png
1,Alakazam ex,Pokémon,https://images.pokemontcg.io/sv3pt5/65_hires.png
2,Drowzee,Pokémon,https://images.pokemontcg.io/sv6pt5/16_hires.png
1,Hypno,Pokémon,https://images.pokemontcg.io/xy9/51_hires.png
10,Basic Psychic Energy,Energy,https://images.pokemontcg.io/sve/13_hires.png
4,Picnicker,Trainer,https://images.pokemontcg.io/svp/114_hires.png
4,Worker,Trainer,https://images.pokemontcg.io/swsh12/167_hires.png
4,Poké Ball,Trainer,https://images.pokemontcg.io/sv1/185_hires.png
1,Master Ball,Trainer,https://images.pokemontcg.io/sv5/153_hires.png
4,Timer Ball,Trainer,https://images.pokemontcg.io/sm1/134_hires.png
4,Nest Ball,Trainer,https://images.pokemontcg.io/sv4pt5/84_hires.png
4,Bug Catcher,Trainer,https://images.pokemontcg.io/sm11/189_hires.png
3,Energy Retrieval,Trainer,https://images.pokemontcg.io/sv1/171_hires.png
3,Tinkatink,Pokémon,https://images.pokemontcg.io/sv2/100_hires.png
2,Tinkatuff,Pokémon,https://images.pokemontcg.io/sv2/103_hires.png
